,N_title,N_type,N_description,N_release_year,N_age_certification,N_production_countries,N_runtime,N_seasons,D_title,D_type,D_description,D_release_year,D_rating,D_country,D_duration,IMDBShows_Series_Title,IMDBShows_IMDB_Rating,IMDBMovies.IMDB_Rating,IMDBMovies.Series_Title,TvShowsAndMoviesWithRating_title,TvShowsAndMoviesWithRating_type,TvShowsAndMoviesWithRating_description,TvShowsAndMoviesWithRating_release_year,TvShowsAndMoviesWithRating_age_certification,TvShowsAndMoviesWithRating_productionCountry,TvShowsAndMoviesWithRating_runtime,TvShowsAndMoviesWithRating_production_countries,TvShowsAndMoviesWithRating_available_on,IMDBMovies_Series_Title,IMDBMovies_IMDB_Rating,TvShowsAndMoviesWithRating_imdb_rating
3008,Babamın Ceketi,MOVIE,"Ferhat and Aslihan, who have been together for some time, want to crown their relationship with marriage. But Ferhat's being unemployed is a major obstacle to their marriage. In the meantime, Aslihan father's suffers heart attack makes the situation more complicated. Aslihan's father started to pressure his daughter to marry after the health problem. Her father wants to see her daughter get married. But for this, Ferhat must find money for work and wedding. One of the greatest supporters of Ferhat is his father Ibrahim. Ferhat, who started to look for a job with the help of his friend Penguen Ersin, finds himself in a variety of adventures.",2018,,['TR'],100,,,,,,,,,,,,,Babamın Ceketi,Movie,"Ferhat and Aslihan, who have been together for some time, want to crown their relationship with marriage. But Ferhat's being unemployed is a major obstacle to their marriage. In the meantime, Aslihan father's suffers heart attack makes the situation more complicated. Aslihan's father started to pressure his daughter to marry after the health problem. Her father wants to see her daughter get married. But for this, Ferhat must find money for work and wedding. One of the greatest supporters of Ferhat is his father Ibrahim. Ferhat, who started to look for a job with the help of his friend Penguen Ersin, finds himself in a variety of adventures.",2018,,,100 min,Turkey,Netflix,,,
3009,Silence Is Welcome,MOVIE,"During the holidays, Amanda, trapped in adolescence, looks for a way to escape from the annoying family trip. While travelling, she realizes how her relationship with her family is progressively crumbling and her parents marriage is slowly falling apart. She sees it as a punishment, but does not suspect that with the imminent escalation of violence in Mexico this could be their last vacation together.",2017,,['MX'],94,,,,,,,,,,,,,Silence Is Welcome,Movie,"During the holidays, Amanda, trapped in adolescence, looks for a way to escape from the annoying family trip. While travelling, she realizes how her relationship with her family is progressively crumbling and her parents marriage is slowly falling apart. She sees it as a punishment, but does not suspect that with the imminent escalation of violence in Mexico this could be their last vacation together.",2017,,,94 min,Mexico,Netflix,,,
3010,Life Plan A and B,SHOW,"Ru Wei and You Yan have a simple relationship. But in every simple relationship, there are many difficulties. They are not rich, but they try very hard to enjoy life. They are very serious about their relationship and try their best to achieve something in life - hoping one day they can become who they want to become. One day, Ru Wei has a 'lucky chance' in life. Her company wants to send her to Shanghai, with a promotion and higher pay. These two who are deeply in love cannot bear to have a long-distance relationship. With all the uncertainties in their future, can they still stand by each other?",2017,TV-PG,['TW'],80,1.0,,,,,,,,,,,,Life Plan A and B,TV Show,"Ru Wei and You Yan have a simple relationship. But in every simple relationship, there are many difficulties. They are not rich, but they try very hard to enjoy life. They are very serious about their relationship and try their best to achieve something in life - hoping one day they can become who they want to become. One day, Ru Wei has a 'lucky chance' in life. Her company wants to send her to Shanghai, with a promotion and higher pay. These two who are deeply in love cannot bear to have a long-distance relationship. With all the uncertainties in their future, can they still stand by each other?",2017,TV-PG,,1 Season,"Taiwan, Province of China",Netflix,,,
3011,Grillo vs Grillo,MOVIE,"Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics.",2017,,['XX'],95,,,,,,,,,,,,,Grillo vs Grillo,Movie,"Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics.",2017,,,95 min,,Netflix,,,
3012,Neevevaro,MOVIE,"As Kalyan, a blind chef and Vennela, who comes visiting him at his restaurant, fall in love and start making plans for their future, Vennela goes missing. Series of unexpected and shocking events follow.",2018,PG,['IN'],130,,,,,,,,,,,,,Neevevaro,Movie,"As Kalyan, a blind chef and Vennela, who comes visiting him at his restaurant, fall in love and start making plans for their future, Vennela goes missing. Series of unexpected and shocking events follow.",2018,PG,,130 min,India,Netflix,,,
3013,Sebastián Marcelo Wainraich,MOVIE,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",2018,,['AR'],49,,,,,,,,,,,,,Sebastián Marcelo Wainraich,Movie,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",2018,,,49 min,Argentina,Netflix,,,
3014,Baby Mamas,MOVIE,The daily lives and loves of four professional women in South Africa who are all in different stages of their own real-life baby mama drama.,2018,,['ZA'],93,,,,,,,,,,,,,Baby Mamas,Movie,The daily lives and loves of four professional women in South Africa who are all in different stages of their own real-life baby mama drama.,2018,,,93 min,South Africa,Netflix,,,
3015,The Honeymoon Stand Up Special,SHOW,"Impending parenthood does funny things to Natasha Leggero and Moshe Kasher, who dissect family, relationships and more in a trio of stand-up specials.",2018,,[],32,1.0,,,,,,,,,,,,The Honeymoon Stand Up Special,TV Show,"Impending parenthood does funny things to Natasha Leggero and Moshe Kasher, who dissect family, relationships and more in a trio of stand-up specials.",2018,,,1 Season,,Netflix,,,
3016,Lovefucked,MOVIE,"A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.",2018,,['IN'],105,,,,,,,,,,,,,Lovefucked,Movie,"A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.",2018,,,105 min,India,Netflix,,,
3017,Fan of Amoory,MOVIE,"A story about a brave talented boy; his idol the famous football player ""Amoory"". The film follows the young boy as he goes through challenges and difficulties to achieve his dream.",2018,G,['AE'],91,,,,,,,,,,,,,Fan of Amoory,Movie,"A story about a brave talented boy; his idol the famous football player ""Amoory"". The film follows the young boy as he goes through challenges and difficulties to achieve his dream.",2018,G,,91 min,United Arab Emirates,Netflix,,,
3018,Satria Heroes: Revenge of the Darkness,MOVIE,"One year has passed since Satria Garuda Bima-X defeated VUDO and the earth is in peace again. Ray and Rena are rebuilding the Parallel World again. However, new evil forces attack and old enemies rise again to devastate the earth.",2017,,['ID'],92,,,,,,,,,,,,,Satria Heroes: Revenge of the Darkness,Movie,"One year has passed since Satria Garuda Bima-X defeated VUDO and the earth is in peace again. Ray and Rena are rebuilding the Parallel World again. However, new evil forces attack and old enemies rise again to devastate the earth.",2017,,,92 min,Indonesia,Netflix,,,
3019,Stretch Armstrong: The Breakout,MOVIE,"Villains are rampaging through Charter City and the Flex Fighters -- Jake, Ricardo and Nathan -- need your help to halt the chaos.",2018,,['US'],45,,,,,,,,,,,,,Stretch Armstrong: The Breakout,Movie,"Villains are rampaging through Charter City and the Flex Fighters -- Jake, Ricardo and Nathan -- need your help to halt the chaos.",2018,,,45 min,United States,Netflix,,,
3020,Hajwala 2: Mysterious Mission,MOVIE,"In this sequel, a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang.",2018,PG-13,['AE'],115,,,,,,,,,,,,,Hajwala 2: Mysterious Mission,Movie,"In this sequel, a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang.",2018,PG-13,,115 min,United Arab Emirates,Netflix,,,
3021,Spiritual House,SHOW,"Psychic Hiroyuki Ehara leads various celebrities through spiritual consultations, probing into their issues and spotlighting their accomplishments.",2017,TV-PG,['JP'],41,1.0,,,,,,,,,,,,Spiritual House,TV Show,"Psychic Hiroyuki Ehara leads various celebrities through spiritual consultations, probing into their issues and spotlighting their accomplishments.",2017,TV-PG,,1 Season,Japan,Netflix,,,
3022,Rise: Ini Kalilah,MOVIE,"The movie is comprised of six inter-related stories that tell of the frantic days leading up to the most important election ever in Malaysia. It follows the lives of everyday people, who come together for their common love: their country. Each of the stories told shows the meaning of being a true Malaysian.",2018,,['MY'],102,,,,,,,,,,,,,Rise: Ini Kalilah,Movie,"The movie is comprised of six inter-related stories that tell of the frantic days leading up to the most important election ever in Malaysia. It follows the lives of everyday people, who come together for their common love: their country. Each of the stories told shows the meaning of being a true Malaysian.",2018,,,102 min,Malaysia,Netflix,,,
3023,Echcharikkai,MOVIE,"Two men kidnap the daughter of a rich man, and the latter approaches a retired cop to track the missing woman.",2018,,['IN'],134,,,,,,,,,,,,,Echcharikkai,Movie,"Two men kidnap the daughter of a rich man, and the latter approaches a retired cop to track the missing woman.",2018,,,134 min,India,Netflix,,,
3024,Verses of Love 2,MOVIE,"When he became a lecturer in Eidenburgh, Fahri met Hulya, Keira, and Sabrina. The three try to make Fahri forget Aisha to continue his life.",2017,,['ID'],125,,,,,,,,,,,,,Verses of Love 2,Movie,"When he became a lecturer in Eidenburgh, Fahri met Hulya, Keira, and Sabrina. The three try to make Fahri forget Aisha to continue his life.",2017,,,125 min,Indonesia,Netflix,,,
3025,Kavin Jay : Everybody Calm Down!,MOVIE,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience.",2018,,['XX'],53,,,,,,,,,,,,,Kavin Jay : Everybody Calm Down!,Movie,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience.",2018,,,53 min,,Netflix,,,
3026,Unexpectedly Yours,MOVIE,"Two former high school friends Patty and Cocoy find each other unexpectedly 30 years later, not only as organizers of their high school reunion, but also as new neighbors. Patty and her daughter Yanni's quiet lives then get an unexpected shake-up when love—in the form of Cocoy and his nephew Jason —comes knocking on their door.",2017,,['PH'],120,,,,,,,,,,,,,Unexpectedly Yours,Movie,"Two former high school friends Patty and Cocoy find each other unexpectedly 30 years later, not only as organizers of their high school reunion, but also as new neighbors. Patty and her daughter Yanni's quiet lives then get an unexpected shake-up when love—in the form of Cocoy and his nephew Jason —comes knocking on their door.",2017,,,120 min,Philippines,Netflix,,,
3027,Afronta!,SHOW,"Afronta invites contemporary black artists and thinkers to discuss representation, belonging, entrepreneurship, ancestrality and AFROFUTURISM through their experiences and personal histories. These reflections will contribute to the understanding of how the Brazilian black community is creating a network to promote the autonomy to change our reality of today, while inventing one for tomorrow.",2017,TV-PG,['BR'],14,1.0,,,,,,,,,,,,Afronta!,TV Show,"Afronta invites contemporary black artists and thinkers to discuss representation, belonging, entrepreneurship, ancestrality and AFROFUTURISM through their experiences and personal histories. These reflections will contribute to the understanding of how the Brazilian black community is creating a network to promote the autonomy to change our reality of today, while inventing one for tomorrow.",2017,TV-PG,,1 Season,Brazil,Netflix,,,
3028,Lilli,MOVIE,"Abducted and confined in a room by a gang of sadistic men, a pregnant woman tries to escape, against insurmountable odds.",2018,PG,['IN'],91,,,,,,,,,,,,,Lilli,Movie,"Abducted and confined in a room by a gang of sadistic men, a pregnant woman tries to escape, against insurmountable odds.",2018,PG,,91 min,India,Netflix,,,
3029,Prince of Peoria: A Christmas Moose Miracle,MOVIE,"Teddy gets snowed in at a bowling alley, which may cause him to miss the Festival of Lights for the very first time. Fear not, though, because Emil ""insists the Christmas moose will save the day.",2018,,[],29,,,,,,,,,,,,,Prince of Peoria: A Christmas Moose Miracle,Movie,"Teddy gets snowed in at a bowling alley, which may cause him to miss the Festival of Lights for the very first time. Fear not, though, because Emil ""insists the Christmas moose will save the day.",2018,,,29 min,,Netflix,,,
3030,Highland: Thailand's Marijuana Awakening,SHOW,"Thailand's complicated history with marijuana continues to play a role in its policies and laws, as well as the health and security of its citizens.",2017,TV-MA,['US'],20,1.0,,,,,,,,,,,,Highland: Thailand's Marijuana Awakening,TV Show,"Thailand's complicated history with marijuana continues to play a role in its policies and laws, as well as the health and security of its citizens.",2017,TV-MA,,1 Season,United States,Netflix,,,
3031,Match,MOVIE,two brothers whose lives are torn apart by the murder of their father. Match follows the different paths taken by the brothers after the death and the consequences that come from their actions.,2017,,[],7,,,,,,,,,,,,,Match,Movie,two brothers whose lives are torn apart by the murder of their father. Match follows the different paths taken by the brothers after the death and the consequences that come from their actions.,2017,,,7 min,,Netflix,,,
3032,Komola Rocket,MOVIE,A manifestation of lives of people coming from different classes and beliefs in a steamer as they set out for their journeys. Things start to get out of hand when the steamer gets stuck amidst the passage and deepest secrets and desires start to unfold.,2018,,['BD'],95,,,,,,,,,,,,,Komola Rocket,Movie,A manifestation of lives of people coming from different classes and beliefs in a steamer as they set out for their journeys. Things start to get out of hand when the steamer gets stuck amidst the passage and deepest secrets and desires start to unfold.,2018,,,95 min,Bangladesh,Netflix,,,
3033,D.L. Hughley: Contrarian,MOVIE,"Comedian D.L. Hughley riffs on politics, ""Black Panther,"" his upbringing and more in a rapid-fire stand-up show at Philadelphia's Merriam Theater.",2018,,['US'],58,,,,,,,,,,,,,D.L. Hughley: Contrarian,Movie,"Comedian D.L. Hughley riffs on politics, ""Black Panther,"" his upbringing and more in a rapid-fire stand-up show at Philadelphia's Merriam Theater.",2018,,,58 min,United States,Netflix,,,
3034,Panoptic,MOVIE,"Panoptic explores Lebanon's schizophrenia. Depicting a nation thriving for modernity while ignoring the vices preventing it from achieving its goal, director Rana Eid examines this paradox through sound, iconic monuments and secret hideouts.",2017,,"['AE', 'LB']",79,,,,,,,,,,,,,Panoptic,Movie,"Panoptic explores Lebanon's schizophrenia. Depicting a nation thriving for modernity while ignoring the vices preventing it from achieving its goal, director Rana Eid examines this paradox through sound, iconic monuments and secret hideouts.",2017,,,79 min,"United Arab Emirates, Lebanon",Netflix,,,
3035,Joe Mande's Award-Winning Comedy Special,MOVIE,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.",2017,,['US'],66,,,,,,,,,,,,,Joe Mande's Award-Winning Comedy Special,Movie,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.",2017,,,66 min,United States,Netflix,,,
3036,Deliha 2,MOVIE,"Zeliha is back: Crazy and candid as ever, and she still gets herself into all sorts of trouble. Seeking love in the first film, Zeliha is now after a career in the sequel, as she dreams of becoming a cook and starts working in a luxury restaurant. Will Zeliha's dreams finally come true, or will the real world break her heart and leave her in disappointment? With heartwarming characters and an entertaining story by Gupse Özay, writer of the films Deliha and Görümce, Deliha 2 will once again leave audiences in laughter. The film also marks Özay's directorial debut.",2018,G,['TR'],106,,,,,,,,,,,,,Deliha 2,Movie,"Zeliha is back: Crazy and candid as ever, and she still gets herself into all sorts of trouble. Seeking love in the first film, Zeliha is now after a career in the sequel, as she dreams of becoming a cook and starts working in a luxury restaurant. Will Zeliha's dreams finally come true, or will the real world break her heart and leave her in disappointment? With heartwarming characters and an entertaining story by Gupse Özay, writer of the films Deliha and Görümce, Deliha 2 will once again leave audiences in laughter. The film also marks Özay's directorial debut.",2018,G,,106 min,Turkey,Netflix,,,
3037,Fabrizio Copano: solo pienso en mí,MOVIE,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",2017,,['CL'],59,,,,,,,,,,,,,Fabrizio Copano: solo pienso en mí,Movie,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",2017,,,59 min,Chile,Netflix,,,
3038,Jen Kirkman: Just Keep Livin'?,MOVIE,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost.",2017,,['US'],69,,,,,,,,,,,,,Jen Kirkman: Just Keep Livin'?,Movie,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost.",2017,,,69 min,United States,Netflix,,,
3039,Wedy Atkalam,MOVIE,"A film Director named Masoud faces the negative changes that occurred in the Kuwaiti society, and tries to fight them through art.",2018,,['KW'],72,,,,,,,,,,,,,Wedy Atkalam,Movie,"A film Director named Masoud faces the negative changes that occurred in the Kuwaiti society, and tries to fight them through art.",2018,,,72 min,Kuwait,Netflix,,,
3040,Oga Bolaji,MOVIE,"Oga Bolaji is a story that is centered around the simple happy go lucky life of a 40-year-old retired musician ""Gold Ikponmosa"". His life takes a drastic turn when he crosses paths with a young girl. Perhaps it leads to the worst or best part of his life. Oga Bolaji showcases the resilient, ingenuity of the Nigerian spirit. The way we live, our pain, our limitations, yet we continue to strive, we continue to hope and we continue to dream.",2018,,['NG'],91,,,,,,,,,,,,,Oga Bolaji,Movie,"Oga Bolaji is a story that is centered around the simple happy go lucky life of a 40-year-old retired musician ""Gold Ikponmosa"". His life takes a drastic turn when he crosses paths with a young girl. Perhaps it leads to the worst or best part of his life. Oga Bolaji showcases the resilient, ingenuity of the Nigerian spirit. The way we live, our pain, our limitations, yet we continue to strive, we continue to hope and we continue to dream.",2018,,,91 min,Nigeria,Netflix,,,
3041,Si Doel the Movie,MOVIE,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",2018,,['ID'],85,,,,,,,,,,,,,Si Doel the Movie,Movie,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",2018,,,85 min,Indonesia,Netflix,,,
3042,The Umbrella Academy,SHOW,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",2019,TV-14,['US'],50,3.0,,,,,,,,The Umbrella Academy,8.0,,,The Umbrella Academy,TV Show,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",2019,TV-14,,3 Seasons,United States,Netflix,,,
3043,The Secret of Skinwalker Ranch,SHOW,"A team of experts and scientists undertakes exhaustive research at Skinwalker Ranch, an infamous location for paranormal activity and UFO sightings.",2020,TV-PG,['US'],42,3.0,,,,,,,,,,,,The Secret of Skinwalker Ranch,TV Show,"A team of experts and scientists undertakes exhaustive research at Skinwalker Ranch, an infamous location for paranormal activity and UFO sightings.",2020,TV-PG,,3 Seasons,United States,Netflix,,,
3044,Virgin River,SHOW,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019,TV-14,['US'],44,4.0,,,,,,,,Virgin River,7.5,,,Virgin River,TV Show,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019,TV-14,,4 Seasons,United States,Netflix,,,
3045,The Gentlemen,MOVIE,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2019,R,"['US', 'GB']",113,,,,,,,,,,,,,The Gentlemen,Movie,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2019,R,,113 min,"United States, United Kingdom",Netflix,The Gentlemen,7.8,
3046,Demon Slayer: Kimetsu no Yaiba,SHOW,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",2019,TV-MA,['JP'],25,3.0,,,,,,,,,,,,Demon Slayer: Kimetsu no Yaiba,TV Show,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",2019,TV-MA,,3 Seasons,Japan,Netflix,,,
3047,"Love, Death & Robots",SHOW,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",2019,TV-MA,['US'],13,3.0,,,,,,,,"Love, Death & Robots",8.5,,,"Love, Death & Robots",TV Show,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",2019,TV-MA,,3 Seasons,United States,Netflix,,,
3048,In the Dark,SHOW,"Murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, Tyson. When the police dismiss her story, she sets out with her dog, Pretzel, to find the killer while also managing her colorful dating life and the job she hates at Breaking Blind — the guide-dog school owned by her overprotective parents.",2019,TV-14,['US'],41,4.0,,,,,,,,In the Dark,7.5,,,In the Dark,TV Show,"Murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, Tyson. When the police dismiss her story, she sets out with her dog, Pretzel, to find the killer while also managing her colorful dating life and the job she hates at Breaking Blind — the guide-dog school owned by her overprotective parents.",2019,TV-14,,4 Seasons,United States,Netflix,,,
3049,Vinland Saga,SHOW,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",2019,TV-MA,['JP'],24,2.0,,,,,,,,Vinland Saga,8.8,,,Vinland Saga,TV Show,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",2019,TV-MA,,2 Seasons,Japan,Netflix,,,
3050,Tuca & Bertie,SHOW,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends -- and birds -- who guide each other through life's ups and downs.,2019,TV-MA,['US'],24,3.0,,,,,,,,,,,,Tuca & Bertie,TV Show,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends -- and birds -- who guide each other through life's ups and downs.,2019,TV-MA,,3 Seasons,United States,Netflix,,,
3051,Russian Doll,SHOW,Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop -- and staring down the barrel of her own mortality.,2019,TV-MA,['US'],28,2.0,,,,,,,,Russian Doll,7.9,,,Russian Doll,TV Show,Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop -- and staring down the barrel of her own mortality.,2019,TV-MA,,2 Seasons,United States,Netflix,,,
3052,Jurassic World: Camp Cretaceous,SHOW,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,2020,TV-PG,['US'],24,5.0,,,,,,,,,,,,Jurassic World: Camp Cretaceous,TV Show,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,2020,TV-PG,,5 Seasons,United States,Netflix,,,
3053,The Witcher,SHOW,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",2019,TV-MA,['US'],58,2.0,,,,,,,,The Witcher,8.2,,,The Witcher,TV Show,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",2019,TV-MA,,2 Seasons,United States,Netflix,,,
3054,Bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020,TV-MA,['US'],62,4.0,,,,,,,,Bridgerton,7.3,,,Bridgerton,TV Show,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020,TV-MA,,4 Seasons,United States,Netflix,,,
3055,Control Z,SHOW,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",2020,TV-MA,['MX'],38,3.0,,,,,,,,,,,,Control Z,TV Show,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",2020,TV-MA,,3 Seasons,Mexico,Netflix,,,
3056,After Life,SHOW,"Tony had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on.",2019,TV-MA,['GB'],28,3.0,,,,,,,,After Life,8.4,,,After Life,TV Show,"Tony had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on.",2019,TV-MA,,3 Seasons,United Kingdom,Netflix,,,
3057,A Call to Spy,MOVIE,"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.",2019,PG-13,['US'],123,,,,,,,,,,,,,A Call to Spy,Movie,"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.",2019,PG-13,,123 min,United States,Netflix,,,
3058,Surviving R. Kelly,SHOW,"Celebrated as one of the greatest R&B singers of all time, R. Kelly’s genre defining career and playboy lifestyle has been riddled with rumors of abuse, predatory behavior, and pedophilia. Despite damning evidence and multiple witnesses, to date, none of these accusations have seemingly affected him. For the first time ever, survivors and people from R. Kelly’s inner circle, are coming forward with new allegations about his sexual, mental, and physical abuse. They are now finally ready to share their full story and shed light on the secret life the public has never seen.",2019,TV-14,['US'],59,2.0,,,,,,,,,,,,Surviving R. Kelly,TV Show,"Celebrated as one of the greatest R&B singers of all time, R. Kelly’s genre defining career and playboy lifestyle has been riddled with rumors of abuse, predatory behavior, and pedophilia. Despite damning evidence and multiple witnesses, to date, none of these accusations have seemingly affected him. For the first time ever, survivors and people from R. Kelly’s inner circle, are coming forward with new allegations about his sexual, mental, and physical abuse. They are now finally ready to share their full story and shed light on the secret life the public has never seen.",2019,TV-14,,2 Seasons,United States,Netflix,,,
3059,Are You Afraid of the Dark?,SHOW,"Each season of this horror anthology series follows a different group of kids, members of the Midnight Society, as they discover terrifying curses and creatures.",2019,TV-PG,['US'],42,3.0,,,,,,,,Are You Afraid of the Dark?,8.2,,,Are You Afraid of the Dark?,TV Show,"Each season of this horror anthology series follows a different group of kids, members of the Midnight Society, as they discover terrifying curses and creatures.",2019,TV-PG,,3 Seasons,United States,Netflix,,,
3060,The UnXplained,SHOW,"The show will explore the facts behind the world's most fascinating, strange and inexplicable mysteries.",2019,TV-14,['US'],42,4.0,,,,,,,,,,,,The UnXplained,TV Show,"The show will explore the facts behind the world's most fascinating, strange and inexplicable mysteries.",2019,TV-14,,4 Seasons,United States,Netflix,,,
3061,The Queen's Gambit,SHOW,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",2020,TV-MA,['US'],56,1.0,,,,,,,,,,,,The Queen's Gambit,TV Show,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",2020,TV-MA,,1 Season,United States,Netflix,,,
3062,"Roswell, New Mexico",SHOW,"After reluctantly returning to her tourist-trap hometown of Roswell, New Mexico, the daughter of undocumented immigrants discovers a shocking truth about her teenage crush who is now a police officer—he’s an alien who has kept his unearthly abilities hidden his entire life. She protects his secret as the two reconnect and begin to investigate his origins, but when a violent attack and long-standing government cover-up point to a greater alien presence on Earth, the politics of fear and hatred threaten to expose him and destroy their deepening romance.",2019,TV-14,['US'],41,4.0,,,,,,,,"Roswell, New Mexico",6.2,,,"Roswell, New Mexico",TV Show,"After reluctantly returning to her tourist-trap hometown of Roswell, New Mexico, the daughter of undocumented immigrants discovers a shocking truth about her teenage crush who is now a police officer—he’s an alien who has kept his unearthly abilities hidden his entire life. She protects his secret as the two reconnect and begin to investigate his origins, but when a violent attack and long-standing government cover-up point to a greater alien presence on Earth, the politics of fear and hatred threaten to expose him and destroy their deepening romance.",2019,TV-14,,4 Seasons,United States,Netflix,,,
3063,Sex Education,SHOW,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,2019,TV-MA,['GB'],52,4.0,,,,,,,,Sex Education,8.3,,,Sex Education,TV Show,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,2019,TV-MA,,4 Seasons,United Kingdom,Netflix,,,
